# 5
S.sname,S.age,S.sid,R.sid,B.bcolor
U,69,5559,5559,blue
B,61,4141,4141,blue
P,40,2326,2326,blue
I,46,4886,4886,blue
L,44,2076,2076,blue
V,26,2357,2357,blue
J,37,999,999,blue
T,33,1012,1012,blue
I,20,5701,5701,blue
E,30,2246,2246,blue
O,27,1402,1402,blue
T,37,3419,3419,blue
W,66,3360,3360,blue
U,63,2154,2154,blue
K,29,2336,2336,blue
F,59,4014,4014,blue
S,68,4225,4225,blue
U,63,3782,3782,blue
Y,29,6637,6637,blue
Z,24,3828,3828,blue
Q,30,6868,6868,blue
P,55,5451,5451,blue
Y,66,8623,8623,blue
U,33,9184,9184,blue
U,33,5984,5984,blue
P,34,5158,5158,blue
W,48,3239,3239,blue
C,68,7783,7783,blue
L,51,3325,3325,blue
L,61,4378,4378,blue
O,40,4533,4533,blue
O,25,1156,1156,blue
X,64,8825,8825,blue
O,68,6906,6906,blue
M,48,8687,8687,blue
B,38,2636,2636,blue
X,52,8295,8295,blue
W,36,6645,6645,blue
R,29,2402,2402,blue
F,53,2529,2529,blue
T,54,7898,7898,blue
K,61,666,666,blue
F,27,2716,2716,blue
A,46,5888,5888,blue
Q,35,6599,6599,blue
R,32,4930,4930,blue
U,31,9306,9306,blue
H,48,7836,7836,blue
R,36,4509,4509,blue
C,41,3552,3552,blue
V,63,7289,7289,blue
L,23,9346,9346,blue
G,59,3834,3834,blue
X,25,4350,4350,blue
X,39,9023,9023,blue
U,66,9007,9007,blue
K,55,7211,7211,blue
R,64,634,634,blue
L,62,5586,5586,blue
I,43,3697,3697,blue
M,32,1436,1436,blue
F,52,565,565,blue
F,52,2387,2387,blue
M,41,6089,6089,blue
I,34,1544,1544,blue
K,45,3163,3163,blue
A,20,5580,5580,blue
B,37,3065,3065,blue
C,57,8215,8215,blue
N,66,4299,4299,blue
T,65,487,487,blue
K,62,1045,1045,blue
Z,65,7161,7161,blue
K,62,9333,9333,blue
D,52,2901,2901,blue
V,48,9510,9510,blue
Z,43,8839,8839,blue
C,34,4898,4898,blue
S,41,9552,9552,blue
T,23,5484,5484,blue
K,39,1612,1612,blue
T,43,5511,5511,blue
V,48,7606,7606,blue
S,60,559,559,blue
D,57,3493,3493,blue
V,57,6923,6923,blue
Z,32,3524,3524,blue
X,44,9693,9693,blue
H,49,1621,1621,blue
F,30,3081,3081,blue
V,45,7845,7845,blue
J,39,7605,7605,blue
M,25,2824,2824,blue
G,54,4624,4624,blue
O,26,6626,6626,blue
B,42,8683,8683,blue
P,62,4311,4311,blue
T,32,2603,2603,blue
Z,64,1752,1752,blue
Y,65,7010,7010,blue
V,55,5105,5105,blue
E,43,6588,6588,blue
F,51,2411,2411,blue
Q,59,2017,2017,blue
H,28,2508,2508,blue
O,47,7624,7624,blue
V,50,5622,5622,blue
K,44,1202,1202,blue
D,62,5197,5197,blue
E,59,9575,9575,blue
X,53,9471,9471,blue
E,52,6621,6621,blue
C,49,3104,3104,blue
Y,60,3554,3554,blue
D,46,956,956,blue
M,30,9200,9200,blue
C,27,1957,1957,blue
A,28,6160,6160,blue
T,58,7509,7509,blue
Q,67,5661,5661,blue
L,47,3720,3720,blue
J,24,8333,8333,blue
U,48,9287,9287,blue
B,52,1546,1546,blue
W,50,4115,4115,blue
K,26,7955,7955,blue
M,69,8085,8085,blue
B,47,8432,8432,blue
S,52,1806,1806,blue
Z,57,6963,6963,blue
S,48,7311,7311,blue
G,35,4620,4620,blue
U,36,7383,7383,blue
C,47,2627,2627,blue
K,63,6512,6512,blue
G,62,5161,5161,blue
F,29,6863,6863,blue
A,48,1706,1706,blue
K,52,7615,7615,blue
S,47,926,926,blue
J,49,4288,4288,blue
N,52,7429,7429,blue
H,55,6008,6008,blue
T,31,8835,8835,blue
Z,44,1302,1302,blue
Y,39,8725,8725,blue
S,45,6569,6569,blue
X,38,9714,9714,blue
H,66,6234,6234,blue
Y,43,7917,7917,blue
I,33,1099,1099,blue
T,33,1363,1363,blue
F,34,4918,4918,blue
I,61,4220,4220,blue
T,37,1962,1962,blue
V,43,9476,9476,blue
U,63,2695,2695,blue
V,31,6462,6462,blue
B,29,7658,7658,blue
O,68,5209,5209,blue
R,34,5535,5535,blue
Q,31,9196,9196,blue
D,53,5938,5938,blue
O,40,6248,6248,blue
D,53,4124,4124,blue
I,63,6474,6474,blue
G,46,7877,7877,blue
I,59,6409,6409,blue
D,49,7931,7931,blue
O,39,8283,8283,blue
E,34,4119,4119,blue
X,52,3796,3796,blue
A,23,1150,1150,blue
D,58,4597,4597,blue
R,29,1799,1799,blue
S,59,438,438,blue
T,54,2629,2629,blue
T,54,6725,6725,blue
H,48,2247,2247,blue
A,46,271,271,blue
A,46,1903,1903,blue
M,68,916,916,blue
Y,36,4473,4473,blue
Z,56,1542,1542,blue
F,23,4763,4763,blue
Q,62,8334,8334,blue
B,22,4545,4545,blue
N,50,4585,4585,blue
J,32,9236,9236,blue
E,35,3549,3549,blue
C,29,1179,1179,blue
I,31,1618,1618,blue
O,57,7151,7151,blue
T,40,7089,7089,blue
F,47,6543,6543,blue
X,25,8853,8853,blue
G,63,4680,4680,blue
T,44,4354,4354,blue
Z,37,877,877,blue
H,58,144,144,blue
F,56,2864,2864,blue
Z,33,2449,2449,blue
U,66,9982,9982,blue
C,35,7975,7975,blue
P,41,9135,9135,blue
B,53,9357,9357,blue
M,45,677,677,blue
H,32,8768,8768,blue
B,37,8116,8116,blue
S,50,8212,8212,blue
N,60,5374,5374,blue
E,21,9406,9406,blue
Z,58,9058,9058,blue
R,38,176,176,blue
J,45,9314,9314,blue
A,36,4086,4086,blue
R,55,5864,5864,blue
A,54,7472,7472,blue
V,57,1804,1804,blue
E,33,3584,3584,blue
Y,62,6975,6975,blue
K,35,456,456,blue
Y,62,1935,1935,blue
P,42,2413,2413,blue
V,23,8062,8062,blue
U,60,4173,4173,blue
Q,27,5404,5404,blue
P,20,2422,2422,blue
F,42,5543,5543,blue
S,23,2868,2868,blue
I,37,6585,6585,blue
B,42,8802,8802,blue
D,65,5920,5920,blue
G,24,6009,6009,blue
M,60,6577,6577,blue
U,50,7907,7907,blue
U,54,9274,9274,blue
L,59,529,529,blue
E,22,5697,5697,blue
U,28,700,700,blue
Y,69,5848,5848,blue
Y,69,4008,4008,blue
U,23,3990,3990,blue
J,50,412,412,blue
O,46,8113,8113,blue
D,50,7837,7837,blue
N,42,8003,8003,blue
P,26,6088,6088,blue
G,33,1152,1152,blue
I,28,2690,2690,blue
E,63,6947,6947,blue
O,62,7882,7882,blue
G,60,1564,1564,blue
E,52,1128,1128,blue
J,55,6417,6417,blue
Q,34,1173,1173,blue
W,65,5025,5025,blue
Q,38,1410,1410,blue
C,37,2306,2306,blue
M,40,4711,4711,blue
C,26,6802,6802,blue
E,29,7947,7947,blue
F,57,4971,4971,blue
K,31,1377,1377,blue
G,30,802,802,blue
I,58,5889,5889,blue
H,22,5678,5678,blue
R,30,7885,7885,blue
L,34,3989,3989,blue
L,34,7221,7221,blue
G,64,9459,9459,blue
W,54,5234,5234,blue
U,48,1074,1074,blue
B,30,4534,4534,blue
W,45,9912,9912,blue
Z,61,8219,8219,blue
D,68,8309,8309,blue
Z,57,5170,5170,blue
B,26,6415,6415,blue
L,50,1658,1658,blue
V,60,9587,9587,blue
I,52,9311,9311,blue
R,50,6375,6375,blue
Q,20,540,540,blue
X,65,1762,1762,blue
N,41,5528,5528,blue
K,42,4168,4168,blue
U,25,1723,1723,blue
F,25,483,483,blue
Y,34,4600,4600,blue
Y,59,2739,2739,blue
Q,41,9453,9453,blue
S,32,7059,7059,blue
T,64,8265,8265,blue
W,63,9186,9186,blue
J,49,5407,5407,blue
A,33,3355,3355,blue
D,26,1627,1627,blue
A,64,556,556,blue
C,20,992,992,blue
P,39,6076,6076,blue
Q,65,5601,5601,blue
O,54,779,779,blue
T,56,3471,3471,blue
N,27,2459,2459,blue
L,56,2255,2255,blue
F,63,7421,7421,blue
O,23,1162,1162,blue
N,22,7684,7684,blue
M,43,7122,7122,blue
O,25,7714,7714,blue
P,57,663,663,blue
M,48,7299,7299,blue
V,58,7350,7350,blue
L,67,1690,1690,blue
Y,61,4079,4079,blue
X,45,1846,1846,blue
M,68,5729,5729,blue
Q,58,6568,6568,blue
J,54,9193,9193,blue
S,34,2844,2844,blue
N,63,4630,4630,blue
F,64,1881,1881,blue
C,41,4466,4466,blue
D,42,6457,6457,blue
R,45,9057,9057,blue
J,42,7405,7405,blue
M,20,3650,3650,blue
Y,20,861,861,blue
C,25,1393,1393,blue
G,63,1273,1273,blue
Y,31,6237,6237,blue
L,35,1905,1905,blue
C,39,7334,7334,blue
U,49,1422,1422,blue
L,39,2377,2377,blue
O,39,3344,3344,blue
L,58,4911,4911,blue
P,41,4786,4786,blue
M,45,3362,3362,blue
F,33,8388,8388,blue
S,24,5273,5273,blue
C,57,9945,9945,blue
F,62,1865,1865,blue
K,34,5494,5494,blue
L,48,2728,2728,blue
Y,35,7866,7866,blue
P,52,3291,3291,blue
H,51,4567,4567,blue
P,52,2339,2339,blue
B,25,7438,7438,blue
B,21,814,814,blue
S,41,9150,9150,blue
E,33,439,439,blue
S,56,4010,4010,blue
D,23,3141,3141,blue
P,42,9118,9118,blue
K,56,9773,9773,blue
X,40,3209,3209,blue
Y,37,4116,4116,blue
Q,27,8603,8603,blue
B,66,954,954,blue
W,44,3211,3211,blue
D,65,4093,4093,blue
C,24,9117,9117,blue
M,60,7388,7388,blue
H,35,516,516,blue
T,36,4078,4078,blue
O,21,1725,1725,blue
L,36,8694,8694,blue
E,26,2157,2157,blue
U,24,1724,1724,blue
K,46,9542,9542,blue
J,57,3321,3321,blue
Y,69,1765,1765,blue
E,43,5188,5188,blue
F,68,2681,2681,blue
G,44,1214,1214,blue
Q,59,1629,1629,blue
T,52,4401,4401,blue
G,56,3144,3144,blue
E,38,265,265,blue
G,56,2502,2502,blue
D,39,3142,3142,blue
O,62,3113,3113,blue
H,40,8539,8539,blue
E,52,6717,6717,blue
D,44,379,379,blue
I,25,698,698,blue
E,54,2754,2754,blue
V,46,7432,7432,blue
J,40,296,296,blue
S,46,6889,6889,blue
X,37,9938,9938,blue
X,26,7340,7340,blue
I,62,9493,9493,blue
K,31,8558,8558,blue
Y,27,3624,3624,blue
F,50,7325,7325,blue
B,52,338,338,blue
A,30,5691,5691,blue
K,22,3496,3496,blue
H,27,6398,6398,blue
V,64,2725,2725,blue
N,62,5746,5746,blue
N,53,7324,7324,blue
G,35,14,14,blue
E,23,8923,8923,blue
D,56,1451,1451,blue
I,30,8208,8208,blue
V,37,7047,7047,blue
I,26,3538,3538,blue
U,29,1431,1431,blue
Z,55,8367,8367,blue
B,20,2656,2656,blue
K,48,2512,2512,blue
A,33,8798,8798,blue
F,28,2514,2514,blue
P,40,1877,1877,blue
P,40,2509,2509,blue
U,67,6908,6908,blue
X,38,6892,6892,blue
J,27,2284,2284,blue
U,62,7064,7064,blue
F,34,1292,1292,blue
C,20,209,209,blue
Y,29,2530,2530,blue
B,64,9988,9988,blue
U,63,121,121,blue
M,27,816,816,blue
Z,28,9375,9375,blue
F,59,6233,6233,blue
H,20,4640,4640,blue
P,55,9104,9104,blue
O,64,7808,7808,blue
O,64,7200,7200,blue
X,68,4103,4103,blue
L,55,2749,2749,blue
M,43,7159,7159,blue
G,27,9703,9703,blue
Q,42,108,108,blue
I,63,1368,1368,blue
U,35,3713,3713,blue
E,34,1463,1463,blue
Y,57,6349,6349,blue
F,49,9595,9595,blue
P,27,8790,8790,blue
H,30,1532,1532,blue
L,28,3877,3877,blue
G,32,6262,6262,blue
M,38,6056,6056,blue
O,34,6974,6974,blue
Q,53,1934,1934,blue
X,65,3903,3903,blue
B,60,8669,8669,blue
Y,20,2910,2910,blue
O,61,1976,1976,blue
W,58,4745,4745,blue
S,25,928,928,blue
J,20,8639,8639,blue
R,61,5829,5829,blue
T,22,9103,9103,blue
H,62,6690,6690,blue
M,36,126,126,blue
S,66,6737,6737,blue
Q,28,3180,3180,blue
S,66,4529,4529,blue
R,68,1298,1298,blue
I,38,8298,8298,blue
B,39,6463,6463,blue
F,33,2863,2863,blue
M,45,4851,4851,blue
P,36,5353,5353,blue
R,28,5443,5443,blue
T,38,552,552,blue
C,61,1661,1661,blue
F,62,1168,1168,blue
S,57,4888,4888,blue
K,34,3973,3973,blue
U,34,6768,6768,blue
H,51,274,274,blue
U,21,8368,8368,blue
R,51,4663,4663,blue
P,67,8604,8604,blue
Q,60,8662,8662,blue
J,41,5248,5248,blue
Z,43,6046,6046,blue
C,34,363,363,blue
K,50,6610,6610,blue
Y,58,3856,3856,blue
S,21,8784,8784,blue
G,38,9486,9486,blue
S,56,1487,1487,blue
U,56,291,291,blue
I,44,5183,5183,blue
R,67,1965,1965,blue
C,40,29,29,blue
M,29,1446,1446,blue
O,65,7932,7932,blue
U,43,5136,5136,blue
C,28,2660,2660,blue
O,26,6213,6213,blue
S,23,2046,2046,blue
E,27,3381,3381,blue
X,66,94,94,blue
O,30,5233,5233,blue
I,57,1687,1687,blue
Q,40,3641,3641,blue
Q,25,8216,8216,blue
V,51,4301,4301,blue
D,51,1671,1671,blue
B,23,3348,3348,blue
N,55,7591,7591,blue
G,45,3105,3105,blue
C,60,2908,2908,blue
K,40,258,258,blue
I,24,3967,3967,blue
Y,56,1785,1785,blue
E,52,2518,2518,blue
G,55,2016,2016,blue
G,69,6359,6359,blue
F,32,8228,8228,blue
S,29,1147,1147,blue
T,62,2405,2405,blue
U,48,3084,3084,blue
F,50,1566,1566,blue
Z,23,5162,5162,blue
K,65,9483,9483,blue
J,64,277,277,blue
T,63,9841,9841,blue
N,58,1206,1206,blue
B,47,3893,3893,blue
K,47,5310,5310,blue
H,27,7291,7291,blue
W,24,7874,7874,blue
A,30,2976,2976,blue
L,50,3244,3244,blue
E,36,9973,9973,blue
D,60,9715,9715,blue
L,65,2131,2131,blue
U,29,214,214,blue
F,67,2340,2340,blue
I,68,5508,5508,blue
Q,36,8677,8677,blue
X,32,7241,7241,blue
J,49,2889,2889,blue
A,62,903,903,blue
L,40,2898,2898,blue
Z,40,665,665,blue
Q,65,479,479,blue
O,50,9500,9500,blue
Q,69,5114,5114,blue
Q,69,4762,4762,blue
O,54,5013,5013,blue
Y,29,4505,4505,blue
K,29,7682,7682,blue
L,33,5432,5432,blue
L,33,3288,3288,blue
Q,30,4906,4906,blue
P,55,9083,9083,blue
O,23,308,308,blue
M,58,7628,7628,blue
W,31,6912,6912,blue
W,31,1504,1504,blue
P,38,5677,5677,blue
L,49,6807,6807,blue
W,36,6833,6833,blue
X,52,5203,5203,blue
I,29,1707,1707,blue
M,22,5198,5198,blue
Y,61,7399,7399,blue
C,48,4513,4513,blue
T,67,5220,5220,blue
T,28,8708,8708,blue
X,41,9957,9957,blue
Q,62,6679,6679,blue
N,54,9854,9854,blue
Q,63,9669,9669,blue
C,29,6038,6038,blue
E,60,3976,3976,blue
J,38,2760,2760,blue
F,47,5364,5364,blue
G,63,5831,5831,blue
T,44,8425,8425,blue
W,58,6926,6926,blue
X,25,1614,1614,blue
L,35,8213,8213,blue
X,39,5403,5403,blue
P,29,8518,8518,blue
V,32,4501,4501,blue
L,39,9079,9079,blue
R,57,8994,8994,blue
Z,26,2384,2384,blue
W,59,5154,5154,blue
P,41,964,964,blue
J,66,5173,5173,blue
H,31,4205,4205,blue
A,22,5275,5275,blue
B,41,7226,7226,blue
K,45,7231,7231,blue
R,22,9765,9765,blue
H,32,5421,5421,blue
W,39,4522,4522,blue
R,26,3394,3394,blue
B,24,8327,8327,blue
F,66,6402,6402,blue
L,48,7386,7386,blue
U,38,2742,2742,blue
Q,22,76,76,blue
I,69,6705,6705,blue
E,40,1500,1500,blue
N,44,4668,4668,blue
F,40,4518,4518,blue
E,33,8649,8649,blue
L,42,2073,2073,blue
F,26,3737,3737,blue
M,39,7831,7831,blue
X,44,2545,2545,blue
U,60,420,420,blue
R,58,9126,9126,blue
T,29,8376,8376,blue
G,67,2807,2807,blue
J,39,7013,7013,blue
M,34,8140,8140,blue
V,30,7957,7957,blue
P,49,9299,9299,blue
L,32,5227,5227,blue
G,23,1407,1407,blue
Q,25,771,771,blue
I,53,2555,2555,blue
J,69,4327,4327,blue
Z,52,7178,7178,blue
G,45,2374,2374,blue
O,58,4800,4800,blue
G,56,2816,2816,blue
G,60,9985,9985,blue
V,44,3959,3959,blue
O,63,7597,7597,blue
M,30,6172,6172,blue
P,33,3303,3303,blue
W,47,4134,4134,blue
X,33,6816,6816,blue
K,49,9578,9578,blue
C,33,3317,3317,blue
P,56,2291,2291,blue
T,58,917,917,blue
L,34,5130,5130,blue
H,25,1675,1675,blue
J,21,9381,9381,blue
L,38,8445,8445,blue
J,64,3568,3568,blue
N,20,4024,4024,blue
T,53,1215,1215,blue
A,47,5478,5478,blue
V,68,6210,6210,blue
B,48,2270,2270,blue
K,22,910,910,blue
B,26,6090,6090,blue
F,60,7121,7121,blue
M,69,4713,4713,blue
Z,50,6117,6117,blue
C,69,8289,8289,blue
Z,46,1092,1092,blue
O,37,5795,5795,blue
G,20,5600,5600,blue
H,39,1181,1181,blue
J,60,7600,7600,blue
C,54,5018,5018,blue
O,60,8183,8183,blue
O,60,6635,6635,blue
V,33,5793,5793,blue
D,33,883,883,blue
I,68,5021,5021,blue
B,20,1154,1154,blue
T,21,9145,9145,blue
F,28,1628,1628,blue
A,62,7290,7290,blue
J,31,264,264,blue
A,62,8090,8090,blue
S,45,6391,6391,blue
A,58,3918,3918,blue
F,34,4938,4938,blue
O,50,6581,6581,blue
V,47,695,695,blue
M,54,1267,1267,blue
W,61,6061,6061,blue
T,60,7707,7707,blue
B,59,1776,1776,blue
W,57,833,833,blue
G,21,4235,4235,blue
G,66,6442,6442,blue
P,55,3998,3998,blue
N,22,6977,6977,blue
Q,21,1840,1840,blue
V,27,6967,6967,blue
P,38,7744,7744,blue
J,59,6113,6113,blue
E,34,2567,2567,blue
X,48,9091,9091,blue
C,41,9889,9889,blue
Q,62,1452,1452,blue
P,23,2703,2703,blue
E,50,306,306,blue
O,55,6310,6310,blue
O,34,6678,6678,blue
R,45,7366,7366,blue
D,59,3433,3433,blue
J,38,1733,1733,blue
F,47,8387,8387,blue
E,56,9326,9326,blue
J,20,7691,7691,blue
F,56,6572,6572,blue
N,38,7596,7596,blue
L,58,6614,6614,blue
V,20,9630,9630,blue
U,44,4558,4558,blue
F,33,5541,5541,blue
P,36,6031,6031,blue
V,66,8233,8233,blue
B,28,6555,6555,blue
C,57,4872,4872,blue
Z,59,7801,7801,blue
N,66,4512,4512,blue
U,38,9701,9701,blue
Q,22,111,111,blue
O,41,9192,9192,blue
N,40,1350,1350,blue
A,61,4007,4007,blue
G,43,6042,6042,blue
E,40,355,355,blue
Z,43,6080,6080,blue
X,55,6655,6655,blue
O,36,4358,4358,blue
J,29,7971,7971,blue
X,44,6444,6444,blue
U,56,421,421,blue
F,26,8642,8642,blue
U,55,6643,6643,blue
V,45,5470,5470,blue
O,65,9678,9678,blue
S,69,1297,1297,blue
E,49,3245,3245,blue
X,28,6565,6565,blue
Y,21,6966,6966,blue
E,27,3651,3651,blue
U,39,3696,3696,blue
T,32,8794,8794,blue
Y,24,5890,5890,blue
J,23,9769,9769,blue
I,55,2972,2972,blue
N,67,7005,7005,blue
M,56,3420,3420,blue
Z,64,2043,2043,blue
C,62,5936,5936,blue
E,20,2957,2957,blue
U,41,6244,6244,blue
E,26,1764,1764,blue
P,53,4867,4867,blue
V,51,2851,2851,blue
A,38,9697,9697,blue
B,36,8489,8489,blue
N,51,6674,6674,blue
R,31,4289,4289,blue
S,55,3580,3580,blue
M,23,3907,3907,blue
K,44,7759,7759,blue
D,39,4991,4991,blue
H,37,250,250,blue
O,62,8004,8004,blue
O,62,3876,3876,blue
C,53,6699,6699,blue
D,44,1252,1252,blue
F,65,6657,6657,blue
L,41,7038,7038,blue
C,49,3975,3975,blue
S,58,5973,5973,blue
G,61,5538,5538,blue
I,21,5142,5142,blue
C,27,168,168,blue
S,46,9040,9040,blue
C,37,8220,8220,blue
H,60,7413,7413,blue
P,37,9056,9056,blue
Z,35,2875,2875,blue
Q,67,2418,2418,blue
G,30,7626,7626,blue
T,62,6979,6979,blue
B,33,1718,1718,blue
Z,23,8990,8990,blue
R,33,1705,1705,blue
H,27,2899,2899,blue
J,60,9349,9349,blue
Y,34,8246,8246,blue
S,61,5349,5349,blue
T,64,229,229,blue
H,57,2196,2196,blue
K,48,8779,8779,blue
H,61,7745,7745,blue
K,58,6363,6363,blue
U,69,8017,8017,blue
U,58,1123,1123,blue
Y,43,3850,3850,blue
R,52,3073,3073,blue
X,20,1331,1331,blue
E,55,8340,8340,blue
D,47,2664,2664,blue
M,27,8455,8455,blue
Y,66,3037,3037,blue
G,21,7288,7288,blue
G,66,7475,7475,blue
Z,66,401,401,blue
E,65,5236,5236,blue
X,64,9871,9871,blue
M,43,7704,7704,blue
U,47,7779,7779,blue
D,27,2954,2954,blue
G,27,3920,3920,blue
Q,42,9905,9905,blue
U,35,8472,8472,blue
Q,42,1553,1553,blue
I,59,3020,3020,blue
V,58,9782,9782,blue
V,38,8286,8286,blue
K,32,6218,6218,blue
J,67,3219,3219,blue
K,61,8876,8876,blue
A,46,2062,2062,blue
H,52,761,761,blue
M,64,2454,2454,blue
O,55,8609,8609,blue
E,50,5827,5827,blue
B,65,215,215,blue
P,23,8884,8884,blue
R,41,2409,2409,blue
G,53,5181,5181,blue
R,45,9621,9621,blue
D,59,1720,1720,blue
X,25,5050,5050,blue
Y,20,9153,9153,blue
B,56,8937,8937,blue
Z,26,8918,8918,blue
U,40,6856,6856,blue
E,46,1616,1616,blue
C,61,4790,4790,blue
S,54,4986,4986,blue
R,35,8015,8015,blue
S,50,119,119,blue
X,50,2570,2570,blue
Y,35,5490,5490,blue
T,27,8516,8516,blue
S,37,1480,1480,blue
S,37,1736,1736,blue
Z,58,8057,8057,blue
J,45,5445,5445,blue
Z,58,4199,4199,blue
R,38,81,81,blue
V,52,273,273,blue
N,61,4958,4958,blue
V,48,844,844,blue
X,34,811,811,blue
C,44,8108,8108,blue
J,25,4702,4702,blue
H,53,1853,1853,blue
O,48,9053,9053,blue
G,67,1895,1895,blue
L,57,9272,9272,blue
P,47,7565,7565,blue
F,42,9926,9926,blue
P,62,9845,9845,blue
I,56,9857,9857,blue
G,28,6142,6142,blue
G,28,418,418,blue
I,57,3194,3194,blue
I,53,6259,6259,blue
Q,29,1456,1456,blue
D,51,8686,8686,blue
Y,69,3551,3551,blue
R,40,4206,4206,blue
V,50,6036,6036,blue
Y,49,2489,2489,blue
D,62,3421,3421,blue
N,46,2193,2193,blue
S,51,8158,8158,blue
P,30,8428,8428,blue
E,59,3241,3241,blue
C,53,7668,7668,blue
S,62,5776,5776,blue
H,37,6335,6335,blue
J,30,9008,9008,blue
X,49,8521,8521,blue
Y,53,7152,7152,blue
D,34,5379,5379,blue
N,26,9607,9607,blue
Q,57,5573,5573,blue
E,54,1766,1766,blue
N,30,4428,4428,blue
I,21,2829,2829,blue
F,45,7022,7022,blue
T,46,4277,4277,blue
G,69,3366,3366,blue
S,46,3853,3853,blue
T,47,9075,9075,blue
M,53,42,42,blue
K,31,5700,5700,blue
T,58,1439,1439,blue
T,35,5674,5674,blue
L,34,7252,7252,blue
J,21,5615,5615,blue
Z,23,179,179,blue
L,38,6615,6615,blue
Z,61,2408,2408,blue
Z,61,1472,1472,blue
W,45,6665,6665,blue
W,24,3311,3311,blue
Q,20,879,879,blue
P,54,6133,6133,blue
C,58,2228,2228,blue
Y,55,9344,9344,blue
J,56,2639,2639,blue
X,43,2187,2187,blue
N,37,2025,2025,blue
J,53,7019,7019,blue
K,52,9351,9351,blue
A,37,3107,3107,blue
Y,38,1216,1216,blue
B,61,9000,9000,blue
F,22,8670,8670,blue
N,52,4839,4839,blue
Y,39,1793,1793,blue
N,52,7015,7015,blue
M,33,1828,1828,blue
Z,40,9396,9396,blue
N,47,5037,5037,blue
Z,40,9364,9364,blue
I,33,6369,6369,blue
F,59,2197,2197,blue
B,54,3592,3592,blue
W,52,7313,7313,blue
Z,62,6261,6261,blue
N,22,3711,3711,blue
G,27,4459,4459,blue
D,49,5253,5253,blue
A,23,8704,8704,blue
T,50,8066,8066,blue
S,59,6924,6924,blue
H,30,8278,8278,blue
X,48,5501,5501,blue
K,61,9383,9383,blue
B,31,6630,6630,blue
X,48,1373,1373,blue
X,41,2416,2416,blue
R,36,7934,7934,blue
K,57,3230,3230,blue
M,26,8168,8168,blue
R,41,3882,3882,blue
G,32,5314,5314,blue
V,63,7440,7440,blue
T,40,8663,8663,blue
P,25,3924,3924,blue
U,49,1969,1969,blue
C,35,1933,1933,blue
R,64,2359,2359,blue
Q,28,720,720,blue
S,66,3173,3173,blue
D,67,1361,1361,blue
B,39,4821,4821,blue
R,28,3991,3991,blue
W,43,5672,5672,blue
C,61,177,177,blue
H,32,9458,9458,blue
A,45,5590,5590,blue
B,41,1863,1863,blue
F,58,8009,8009,blue
M,67,5026,5026,blue
A,41,2755,2755,blue
R,39,1637,1637,blue
Y,63,5706,5706,blue
R,39,8837,8837,blue
A,59,8025,8025,blue
G,22,7397,7397,blue
T,69,1757,1757,blue
K,62,4296,4296,blue
U,38,7771,7771,blue
Z,47,7873,7873,blue
Z,54,7584,7584,blue
E,40,9839,9839,blue
A,57,6156,6156,blue
V,61,873,873,blue
L,68,3051,3051,blue
U,56,5375,5375,blue
Z,38,4961,4961,blue
U,60,4483,4483,blue
L,37,2148,2148,blue
V,45,5166,5166,blue
G,50,2324,2324,blue
J,39,2194,2194,blue
U,55,5675,5675,blue
O,69,7889,7889,blue
T,41,7670,7670,blue
D,30,1312,1312,blue
G,28,5251,5251,blue
C,21,5854,5854,blue
N,67,241,241,blue
X,62,5405,5405,blue
I,51,5887,5887,blue
U,54,4058,4058,blue
P,63,7347,7347,blue
U,24,7835,7835,blue
G,29,8396,8396,blue
E,47,628,628,blue
I,53,3000,3000,blue
L,63,9648,9648,blue
Q,29,6885,6885,blue
H,24,422,422,blue
N,51,7448,7448,blue
F,55,4707,4707,blue
R,44,9640,9640,blue
K,44,2713,2713,blue
V,39,5035,5035,blue
G,56,175,175,blue
A,59,7539,7539,blue
S,51,603,603,blue
J,55,4691,4691,blue
S,58,7723,7723,blue
W,65,4725,4725,blue
E,48,6086,6086,blue
Q,57,6984,6984,blue
N,30,4621,4621,blue
Z,39,4641,4641,blue
X,33,1389,1389,blue
A,66,6778,6778,blue
P,37,7018,7018,blue
R,63,6399,6399,blue
P,56,3296,3296,blue
C,22,5637,5637,blue
Q,67,580,580,blue
S,29,563,563,blue
H,22,1378,1378,blue
U,52,3631,3631,blue
E,67,2711,2711,blue
H,23,3310,3310,blue
W,45,4278,4278,blue
C,63,9879,9879,blue
K,47,6108,6108,blue
H,38,8347,8347,blue
I,65,3390,3390,blue
L,54,5911,5911,blue
O,37,5822,5822,blue
Z,67,1414,1414,blue
S,49,2445,2445,blue
N,68,3765,3765,blue
E,57,5696,5696,blue
Q,45,5140,5140,blue
O,60,2620,2620,blue
Z,34,6639,6639,blue
H,57,5306,5306,blue
H,57,6074,6074,blue
H,57,4642,4642,blue
Y,45,9592,9592,blue
A,33,9277,9277,blue
K,58,4677,4677,blue
S,33,5670,5670,blue
R,69,5718,5718,blue
D,47,594,594,blue
F,38,4946,4946,blue
U,42,8700,8700,blue
J,22,3019,3019,blue
N,69,7348,7348,blue
W,48,9779,9779,blue
P,38,3429,3429,blue
G,31,1869,1869,blue
G,37,3712,3712,blue
V,38,9704,9704,blue
O,59,9322,9322,blue
H,45,186,186,blue
Q,47,2480,2480,blue
Y,32,6267,6267,blue
Y,32,8055,8055,blue
V,42,5639,5639,blue
